Area,Region.Label,Effort,Sample.Label,distance,est.dist
0,1,1,1,24.5,10
0,1,1,1,33.2,30
0,1,1,1,17.8,25
0,1,1,1,30.4,35
0,1,1,1,2.5,3
0,1,1,1,32,45
0,1,1,1,15.9,40
0,1,1,1,8.3,5
0,1,1,1,34.3,15
0,1,1,1,31.7,12
0,1,1,1,33.1,20
0,1,1,1,39,40
0,1,1,1,48.1,30
0,1,1,1,49.9,40
0,1,1,1,21,30
0,1,1,1,40.1,25
0,1,1,1,28,32
0,1,1,1,30,40
0,1,1,1,29.7,38
0,1,1,2,24.7,
0,1,1,2,29.3,
0,1,1,2,28.4,
0,1,1,2,11.2,12
0,1,1,2,39.9,25
0,1,1,2,18.4,35
0,1,1,2,7.3,16
0,1,1,2,25,17
0,1,1,2,49.2,
0,1,1,2,20.2,16
0,1,1,2,23.1,21
0,1,1,2,40.3,
0,1,1,2,26,12
0,1,1,2,39.8,
0,1,1,3,15.9,2
0,1,1,3,26.2,5
0,1,1,3,41,10
0,1,1,3,12.6,
0,1,1,3,40.8,30
0,1,1,3,33,8
0,1,1,3,22.5,16
0,1,1,3,33.5,17
0,1,1,3,21,15
0,1,1,3,12.2,14
0,1,1,3,6,6
0,1,1,3,18.5,11
0,1,1,3,4.9,3
0,1,1,3,21.2,7
0,1,1,3,3.3,2
0,1,1,3,35.6,18
0,1,1,4,49.8,40
0,1,1,4,45.2,40
0,1,1,4,18,25
0,1,1,4,6,10
0,1,1,4,26.3,35
0,1,1,4,42.8,40
0,1,1,4,49.8,45
0,1,1,4,9.9,10
0,1,1,5,37.2,35
0,1,1,4,40.2,45
0,1,1,4,12.9,50
0,1,1,4,9.3,25
0,1,1,4,36.9,40
0,1,1,4,41,35
0,1,1,4,42.7,40
0,1,1,4,42.7,35
0,1,1,4,45.4,20
0,1,1,4,7.2,5
0,1,1,4,22.4,15
0,1,1,4,16.6,15
0,1,1,4,44.1,45
0,1,1,4,20.4,15
0,1,1,5,7.3,10
0,1,1,5,21.9,40
0,1,1,5,7.1,25
0,1,1,5,20.3,40
0,1,1,5,23,30
0,1,1,5,33.6,50
0,1,1,5,30,45
0,1,1,5,29.7,30
0,1,1,5,20.5,15
0,1,1,5,28.8,25
0,1,1,5,47.3,50
0,1,1,5,32.5,40
0,1,1,5,44.2,35
0,1,1,5,20.2,25
0,1,1,5,37.9,40
0,1,1,5,32.1,40
0,1,1,5,40.3,50
0,1,1,6,37.6,
0,1,1,6,9.8,
0,1,1,6,33.2,
0,1,1,6,46.7,
0,1,1,6,41.3,
0,1,1,6,36.1,
0,1,1,6,10.5,
0,1,1,6,46,
0,1,1,6,49.2,
0,1,1,6,45.2,
0,1,1,6,17.9,
0,1,1,6,31,
0,1,1,6,40.7,
0,1,1,6,30.1,
0,1,1,6,8,
0,1,1,6,47.3,
0,1,1,6,39.5,
0,1,1,6,34.6,
0,1,1,6,29.5,
0,1,1,6,33.9,
0,1,1,6,2.2,
0,1,1,6,7.7,
0,1,1,6,17.1,
0,1,1,6,42.8,
0,1,1,6,43.4,
0,1,1,6,48.4,
0,1,1,7,36.4,35
0,1,1,7,20.8,30
0,1,1,7,43.2,35
0,1,1,7,20.7,27
0,1,1,7,27.1,25
0,1,1,7,29.4,25
0,1,1,7,39.6,27
0,1,1,7,49.5,23
0,1,1,7,37.1,23
0,1,1,7,4.6,5
0,1,1,7,21,30
0,1,1,7,27.9,30
0,1,1,7,18.8,34
0,1,1,7,35.4,35
0,1,1,7,36.1,27
0,1,1,7,23.5,34
0,1,1,7,41.8,37
0,1,1,7,47.6,35
0,1,1,7,34.6,25
0,1,1,7,25.4,23
0,1,1,7,42,25
0,1,1,7,23.3,23
0,1,1,7,40.8,20
0,1,1,7,29.7,23
0,1,1,7,19.7,15
